Abbreviation, FullName
mks, Mario Kart Stadium
wp, Water Park
ssc, Sweet Sweet Canyon
tr, Thwomp Ruins
mc, Mario Circuit (MK8)
th, Toad Harbor
tm, Twisted Mansion
sgf, Shy Guy Falls
sa, Sunshine Airport
ds, Dolphin Shoals
e, Electrodrome
mw, Mount Wario
cc, Cloudtop Cruise
bdd, Bone-Dry Dunes
bc, Bowser's Castle
rr, Rainbow Road (MK8)
mmm, Moo Moo Meadows
mcgba, Mario Circuit (GBA)
ccb, Cheep Cheep Beach
tt, Toad's Turnpike
ddd, Dry Dry Desert
dp3, Donut Plains 3
royal, Royal Raceway
dkj, DK Jungle
ws, Wario Stadium
sl, Sherbet Land
mp, Music Park
yv, Yoshi Valley
ttc, Tick-Tock Clock
pps, Piranha Plant Slide
gv, Grumble Volcano
rrn64, Rainbow Road (N64)
yc, Yoshi Circuit
ea, Excitebike Arena
dd, Dragon Driftway
mutec, Mute City
wgm, Wario's Gold Mine
rrsnes, Rainbow Road (SNES)
iic, Ice Ice Outpost
hc, Hyrule Circuit
bp, Baby Park
cl, Cheese Land
ww, Wild Woods
ac, Animal Crossing
nbc, Neo Bowser City
ribbon, Ribbon Road
sbs, Super Bell Subway
bb, Big Blue
